Food Code,ADD_SUGARS,,
24198736,0,,
24198737,0,,
24198739,0,,
24198741,0,,
24198742,0,,
24198745,0,,
24198746,0,,
24198747,0,,
24198840,0,,
24201000,0,,
24201020,0,,
24201030,0,,
24201060,0.13,,
24201070,0.13,,
24201120,0,,
24201130,0,,
24201220,0,,
24201230,0,,
24201320,0,,
24201330,0,,
24201360,0,,
24201370,0,,
24201410,0,,
24201420,0,,
24201510,0,,
24201520,0,,
24202010,0,,
24202020,0,,
24202060,0,,
24202070,0,,
24202120,0,,
24202460,0,,
24202500,0,,
24202600,0,,
24203010,0,,
24203020,0,,
24203120,0,,
24205000,0,,
24205100,0,,
24206000,0,,
24207000,0,,
24208000,0.33,,
24208500,0,,
24208510,0,,
24209000,2.19,,
24209001,2.19,,
24300110,0,,
24300120,0,,
24301010,0,,
24301020,0,,
24302010,0.13,,
24311010,0,,
24400010,0,,
24400020,0,,
24401010,0,,
24401020,0,,
24402100,0,,
24402110,0,,
24403100,0,,
24404100,0,,
24701000,0,,
24701010,0,,
24701020,0,,
24703000,0,,
24703010,0,,
24703020,0,,
24705010,0.12,,
24706010,0.14,,
25110120,0,,
25110140,0,,
25110420,0,,
25110450,0,,
25112200,0,,
25120000,0,,
25130000,0,,
25140110,0,,
25150000,0,,
25160000,0,,
25160110,0,,
25160130,0,,
25170110,0,,
25170210,0,,
25170310,0,,
25170420,0,,
25210110,0.32,,
25210150,0.62,,
25210210,0.32,,
25210220,0.69,,
25210240,0.69,,
25210250,0,,
25210280,0.69,,
25210290,0,,
25210310,0.3,,
25210410,0.3,,
25210620,0,,
25210750,0,,
25220105,0,,
25220106,0,,
25220108,0,,
25220150,0,,
25220210,0,,
25220350,0,,
25220360,0,,
25220410,0.47,,
25220425,0,,
25220435,0.47,,
25220445,0,,
25220650,0,,
25220710,0,,
25220910,0,,
25221110,0,,
25221210,0,,
25221215,0,,
25221220,0,,
25221250,0,,
25221255,0,,
25221260,0,,
25221310,0.57,,
25221350,0.35,,
25221400,0,,
25221405,0,,
25221406,0,,
25221408,0,,
25221450,0,,
25221460,0,,
25221500,0,,
25221505,0.27,,
25221515,0,,
25221610,0,,
25221810,0,,
25221830,0,,
25221855,0,,
25221860,0,,
25221870,0,,
25221875,0,,
25221910,0,,
25221950,0.34,,
25230110,0,,
25230210,0,,
25230220,0,,
25230320,0,,
25230340,0,,
25230420,0,,
25230530,0,,
25230540,0,,
25230550,0,,
25230560,0,,
25230610,1.92,,
25230780,0,,
25230785,0,,
25230800,0,,
25231110,0,,
25231120,0,,
25240000,0,,
25240110,0,,
25240220,0,,
26100100,0,,
26100110,0,,
26100120,0,,
26100121,0,,
26100122,0,,
26100123,0,,
26100124,0,,
26100130,0.1,,
26100131,0.1,,
26100132,0.1,,
26100133,0.11,,
26100134,0.11,,
26100140,0.19,,
26100141,0.19,,
26100142,0.19,,
26100143,0.22,,
26100144,0.22,,
26100160,0,,
26100170,0,,
26100180,0,,
26100190,0,,
26100200,0,,
26100260,0.3,,
26100270,0.3,,
26101110,0,,
26101180,0,,
26103110,0,,
26103120,0,,
26103121,0,,
26103130,0.1,,
26103131,0.11,,
26103140,0.19,,
26103160,0,,
26105110,0.19,,
26105120,0,,
26105121,0,,
26105130,0.1,,
26105131,0.11,,
26105140,0.19,,
26105160,0,,
26105190,0,,
26107110,0.19,,
26107120,0,,
26107121,0,,
26107122,0,,
26107123,0,,
26107124,0,,
26107130,0.1,,
26107131,0.1,,
26107132,0.1,,
26107133,0.11,,
26107134,0.11,,
26107140,0.19,,
26107141,0.19,,
26107142,0.19,,
26107143,0.22,,
26107144,0.22,,
26107160,0,,
26109110,0,,
26109120,0,,
26109121,0,,
26109122,0,,
26109123,0,,
26109124,0,,
26109130,0.1,,
26109131,0.1,,
26109132,0.1,,
26109133,0.11,,
26109134,0.11,,
26109140,0.19,,
26109141,0.19,,
26109142,0.19,,
26109143,0.22,,
26109144,0.22,,
26109160,0,,
26109170,0,,
26109180,0,,
26109190,0,,
26111110,0,,
26111120,0,,
26111121,0,,
26111130,0.1,,
26111131,0.11,,
26111140,0.19,,
26111160,0,,
26113110,0,,
26113160,0,,
26113190,0,,
26115000,0,,
26115110,0.19,,
26115120,0,,
26115121,0,,
26115122,0,,
26115123,0,,
26115124,0,,
26115130,0.1,,
26115131,0.1,,
26115132,0.1,,
26115133,0.11,,
26115134,0.11,,
26115140,0.19,,
26115141,0.19,,
26115142,0.19,,
26115143,0.22,,
26115144,0.22,,
26115160,0,,
26115190,0,,
26117110,0,,
26117120,0,,
26117121,0,,
26117130,0.1,,
26117131,0.11,,
26117140,0.19,,
26117160,0,,
26117190,0,,
26118000,0,,
26118010,0,,
26118020,0,,
26118021,0,,
26118022,0,,
26118023,0,,
26118024,0,,
26118030,0.1,,
26118031,0.1,,
26118032,0.1,,
26118033,0.11,,
26118034,0.11,,
26118040,0.19,,
26118041,0.19,,
26118042,0.19,,
26118043,0.22,,
26118044,0.22,,
26118050,0,,
26118060,0,,
26119100,0,,
26119110,0,,
26119120,0,,
26119121,0,,
26119130,0.1,,
26119131,0.11,,
26119140,0.19,,
26119160,1.43,,
26119170,0,,
26119180,1.81,,
26119190,0,,
26121100,0,,
26121110,0,,
26121120,0,,
26121121,0,,
26121131,0.1,,
26121132,0.11,,
26121140,0.19,,
26121160,0,,
26121180,0,,
26121190,0,,
26123100,0,,
26123110,0.19,,
26123120,0,,
26123121,0,,
26123130,0.1,,
26123131,0.11,,
26123140,0.19,,
26123160,0,,
26125100,0,,
26125110,0,,
26125120,0,,
26125121,0,,
26125130,0.1,,
26125131,0.11,,
26125140,0.19,,
26125160,0,,
26127110,0.19,,
26127120,0,,
26127121,0,,
26127122,0,,
26127123,0,,
26127124,0,,
26127130,0.1,,
26127131,0.1,,
26127132,0.1,,
26127133,0.11,,
26127134,0.11,,
26127140,0.19,,
26127141,0.19,,
26127142,0.19,,
26127143,0.22,,
26127144,0.22,,
26127160,0,,
26129110,0.27,,
26129120,0,,
26129121,0,,
26129130,0.1,,
26129131,0.11,,
26129140,0.19,,
26129160,0,,
26131100,0,,
26131110,0,,
26131120,0,,
26131121,0,,
26131130,0.1,,
26131131,0.11,,
26131140,0.19,,
26131160,0,,
26131190,0,,
26133100,0,,
26133110,0,,
26133120,0,,
26133121,0,,
26133130,0.1,,
26133131,0.11,,
26133140,0.19,,
26133160,0,,
26135110,0,,
26135120,0,,
26135121,0,,
26135130,0.1,,
26135131,0.11,,
26135140,0.19,,
26135160,0,,
26137100,0,,
26137110,0,,
26137120,0,,
26137121,0,,
26137122,0,,
26137123,0,,
26137124,0,,
26137130,0.1,,
26137131,0.1,,
26137132,0.1,,
26137133,0.11,,
26137134,0.11,,
26137140,0.19,,
26137141,0.19,,
26137142,0.19,,
26137143,0.22,,
26137144,0.22,,
26137160,0,,
26137170,0,,
26137180,0,,
26137190,0,,
26139110,0,,
26139170,0,,
26139180,0,,
26139190,0,,
26141110,0,,
26141120,0,,
26141121,0,,
26141130,0.1,,
26141131,0.11,,
26141140,0.19,,
26141160,0,,
26141180,0,,
26143110,0,,
26143120,0,,
26143121,0,,
26143130,0.1,,
26143131,0.11,,
26143140,0.19,,
26143160,0,,
26147110,0,,
26147120,0,,
26147130,0,,
26147140,0.19,,
26147190,0,,
26149110,0,,
26149120,0,,
26149121,0,,
26149130,0.1,,
26149131,0.11,,
26149140,0.19,,
26149160,0,,
26151110,0,,
26151120,0,,
26151121,0,,
26151122,0,,
26151123,0,,
26151124,0,,
26151130,0.1,,
26151131,0.1,,
26151132,0.1,,
